"","Signature","Microbe","value"
"156","immune_DC","Mannheimia sp. USDA-ARS-USMARC-1261",-0.0227364185110664
"157","immune_Neutrophils","Mannheimia sp. USDA-ARS-USMARC-1261",0.0245808182427901
"158","immune_Mast","Mannheimia sp. USDA-ARS-USMARC-1261",-0.00865191146881288
"159","immune_NK","Mannheimia sp. USDA-ARS-USMARC-1261",-0.00345405767940979
"160","immune_CD4Tconv","Mannheimia sp. USDA-ARS-USMARC-1261",-0.019215291750503
"161","immune_Treg","Mannheimia sp. USDA-ARS-USMARC-1261",0.0952380952380952
"162","immune_TMKI67","Mannheimia sp. USDA-ARS-USMARC-1261",0.0251844399731724
"163","immune_CD8Tex","Mannheimia sp. USDA-ARS-USMARC-1261",0.0216297786720322
"164","immune_CD8T","Mannheimia sp. USDA-ARS-USMARC-1261",0.0191482226693494
"165","immune_Plasma","Mannheimia sp. USDA-ARS-USMARC-1261",-0.211703554661301
"166","immune_B","Mannheimia sp. USDA-ARS-USMARC-1261",-0.1158953722334
"167","minor_Monocyte","Mannheimia sp. USDA-ARS-USMARC-1261",-0.0494969818913481
"168","minor_M2","Mannheimia sp. USDA-ARS-USMARC-1261",-0.0902414486921529
"169","minor_M1","Mannheimia sp. USDA-ARS-USMARC-1261",-0.0274647887323944
"170","minor_cDC2","Mannheimia sp. USDA-ARS-USMARC-1261",-0.0100603621730382
"171","minor_cDC1","Mannheimia sp. USDA-ARS-USMARC-1261",-0.132059020791415
"172","minor_Th17","Mannheimia sp. USDA-ARS-USMARC-1261",0.148390342052314
"173","minor_Th2","Mannheimia sp. USDA-ARS-USMARC-1261",-0.147183098591549
"174","minor_Th1","Mannheimia sp. USDA-ARS-USMARC-1261",-0.0794433266264252
"175","minor_CD4Teff","Mannheimia sp. USDA-ARS-USMARC-1261",0.0877934272300469
"176","minor_CD4Tn","Mannheimia sp. USDA-ARS-USMARC-1261",-0.0406773977196512
"177","minor_MAIT","Mannheimia sp. USDA-ARS-USMARC-1261",0.182360831656606
"178","minor_CD8Teff","Mannheimia sp. USDA-ARS-USMARC-1261",0.115995975855131
"179","minor_CD8Tem","Mannheimia sp. USDA-ARS-USMARC-1261",0.0252850435949027
"180","minor_CD8Tcm","Mannheimia sp. USDA-ARS-USMARC-1261",-0.0117370892018779
"181","minor_CD8Tn","Mannheimia sp. USDA-ARS-USMARC-1261",-0.217203219315895
"182","stromal_Others","Mannheimia sp. USDA-ARS-USMARC-1261",-0.272434607645875
"183","stromal_Myofibroblasts","Mannheimia sp. USDA-ARS-USMARC-1261",-0.0996981891348089
"184","stromal_Fibroblasts","Mannheimia sp. USDA-ARS-USMARC-1261",-0.0833333333333333
"185","stromal_Endothelial","Mannheimia sp. USDA-ARS-USMARC-1261",-0.113749161636486
"186","malignant","Mollivirus sibericum",-0.265224681421865
"187","others","Mollivirus sibericum",-0.19299128101945
"188","stromal","Mollivirus sibericum",-0.0371227364185111
"189","immune","Mollivirus sibericum",0.0419517102615694
"190","immune_ILC","Mollivirus sibericum",0.075251509054326
"191","immune_Mono.Macro","Mollivirus sibericum",0.0765258215962441
"192","immune_pDC","Mollivirus sibericum",0.143125419181757
"193","immune_DC","Mollivirus sibericum",0.0474513749161636
