"","Debaryomyces hansenii","Delftia lacustris","Enterobacter hormaechei","Fusobacterium nucleatum","Mannheimia sp. USDA-ARS-USMARC-1261","Mollivirus sibericum","Moraxella osloensis","Myroides profundi","Nocardia mangyaensis","Plasmodium sp. gorilla clade G2","Porphyromonas asaccharolytica","Proteus virus Isfahan","Pseudomonas fluorescens","Snyder-Theilen feline sarcoma virus","Theileria annulata","malignant","others","stromal","immune","immune_ILC","immune_Mono.Macro","immune_pDC","immune_DC","immune_Neutrophils","immune_Mast","immune_NK","immune_CD4Tconv","immune_Treg","immune_TMKI67","immune_CD8Tex","immune_CD8T","immune_Plasma","immune_B","minor_Monocyte","minor_M2","minor_M1","minor_cDC2","minor_cDC1","minor_Th17","minor_Th2","minor_Th1","minor_CD4Teff","minor_CD4Tn","minor_MAIT","minor_CD8Teff","minor_CD8Tem","minor_CD8Tcm","minor_CD8Tn","stromal_Others","stromal_Myofibroblasts","stromal_Fibroblasts","stromal_Endothelial"
"SL356038",1.0397129434145e-08,1.62582179673034e-09,2.3504414435012e-09,1.86577125462686e-09,3.08810733217542e-09,2.0998185095295e-09,1.43887719840501e-09,2.73419872091367e-08,1.37739974783069e-09,2.02588413408071e-08,1.69720102406886e-09,5.24600653979224e-08,1.32730745255132e-08,1.66905017343431e-09,1.19744315070852e-09,0.183181184357004,0.11792613127587,0.230262186444325,0.207851248685271,0.235495898403154,0.263572228813242,0.219416584616978,0.240514008484517,0.138186966924928,0.127645329398135,0.113164681562638,0.121046744780624,0.151057450884376,0.147203104824417,0.219893283100396,0.222339852293628,0.311250732665079,0.230708190293498,0.187265338019978,0.355198646536582,0.170787177354777,0.254672576112021,0.186550948560986,0.118793725856185,0.0518448605097582,-0.0213439622755548,-0.0822772311416374,0.310099062289348,-0.0152472912278193,0.0134960322272408,0.307623206540043,0.302804397891771,0.202007438772488,0.418067798373399,0.136009939347077,0.249132496564104,0.228739172061321
"SL359722",9.45550449259449e-08,1.62583286979185e-09,2.35045745176406e-09,1.8657839619235e-09,3.08812836449428e-09,2.09983281086287e-09,1.43888699823409e-09,2.73421734285039e-08,1.37740912895238e-09,9.16915664351474e-10,1.69721258327625e-09,2.0466709632425e-07,1.57487775092935e-09,1.66906154091337e-09,1.1974513061913e-09,0.173222933473592,0.107754906362058,0.216389478384219,0.20836318649013,0.208727227069226,0.272165188960953,0.218689468329078,0.273983992002708,0.135226446820405,0.119676352588089,0.13123589533488,0.151318824330674,0.165559127958561,0.147073887725617,0.245232923533739,0.239813101614319,0.246586501955319,0.206114668367673,0.201461523183967,0.359780238347101,0.163404308720338,0.269350369481049,0.227723703862746,0.100312493919033,0.0170079612957493,0.0287899591022595,-0.052550142318447,0.339419144983516,-0.052150918397498,0.0428224748515406,0.309504975007792,0.317288890448135,0.289107601087933,0.432883103907529,0.123523050590844,0.224203196656322,0.222162563395443
"SL362815",1.03971066158125e-08,1.62581822857795e-09,2.35043628504331e-09,1.69678080100318e-08,3.08810055477977e-09,2.0998139011078e-09,1.43887404053547e-09,1.49715476969848e-09,1.37739672488425e-09,3.7217587479135e-09,1.69719729926217e-09,2.04665253222913e-07,1.57486356858475e-09,1.66904651040962e-09,1.19744052270854e-09,0.174229862985787,0.0990094000740791,0.223121781009815,0.23591237561512,0.219608397060859,0.302223331278323,0.222076851725503,0.27537633059527,0.302871524440926,0.138508511975923,0.148969199975184,0.142196031006212,0.157499438432187,0.213518493001429,0.243094239091176,0.23206391093676,0.315432476013249,0.234477630877024,0.257641103159091,0.35826902772017,0.201845364668552,0.29691141565242,0.190760689415641,0.119832293726669,0.0661365566746725,0.0118965999449182,-0.093331133945313,0.334058642747874,-0.122151740902763,0.0314285356252368,0.33503269762017,0.301516042909809,0.33734729587465,0.456872275750311,0.112544204250425,0.234636596222841,0.231464881125162
"SL362825",2.05821653451727e-07,1.57644056342835e-09,1.57644056342835e-09,1.57644056342835e-09,1.57644056342835e-09,1.57644056342835e-09,1.57644056342835e-09,2.21318508334343e-08,4.93851538842249e-08,1.57644056342835e-09,1.57644056342835e-09,2.26895618906095e-05,1.57644056342835e-09,1.57644056342835e-09,1.57644056342835e-09,0.189876815114961,0.130479696589644,0.229733517240859,0.272708649626232,0.283342011926118,0.34020877738199,0.295429900741184,0.362333848039398,0.237223059311093,0.193728282586357,0.215051908682508,0.20195157461603,0.244882443069404,0.179527945236595,0.336024471805991,0.318481293110542,0.343271607957374,0.287526512771092,0.246534401856415,0.383408485607729,0.2536007089633,0.371136692735891,0.25443482425107,0.19664011356015,0.0945587922553557,0.0723924462038372,0.0892420613891245,0.391323905220468,-0.00237520124377893,0.162784293368846,0.391689380593189,0.388452085980186,0.284905714812122,0.439238393374372,0.139381815538188,0.224036611001453,0.262018373781781
"SL362826",1.57644074846787e-09,1.57644074846787e-09,1.57644074846787e-09,2.59902832795842e-07,1.57644074846787e-09,1.57644074846787e-09,1.57644074846787e-09,1.57644074846787e-09,1.57644074846787e-09,1.57644074846787e-09,1.62993848580896e-07,2.2689564553866e-05,1.57644074846787e-09,1.57644074846787e-09,1.57644074846787e-09,0.198220167244142,0.133104516587282,0.207429954594573,0.199674465831241,0.18651456805554,0.268830068230759,0.180102315745943,0.251865913862564,0.108673053484819,0.0837916299490696,0.0702718928219453,0.115874663539702,0.0956023323501695,0.200659543508654,0.193874332829028,0.180877883025616,0.251140718796028,0.196518176973057,0.202012408259355,0.346438674878564,0.168012017252138,0.257424368759496,0.196622978060935,0.00438438236228662,-0.00940235935866541,0.0142081553319444,-0.14999510450334,0.284463063291323,-0.187249945481296,-0.00629606258174928,0.281932184326624,0.247418979662712,0.283340447056048,0.416627506245662,0.116285242828826,0.202634035786165,0.23104741233862
"SL362827",1.57644100834756e-09,1.57644100834756e-09,1.57644100834756e-09,1.57644100834756e-09,1.57644100834756e-09,1.57644100834756e-09,1.57644100834756e-09,1.57644100834756e-09,1.57644100834756e-09,1.57644100834756e-09,1.57644100834756e-09,2.26895682942902e-05,1.57644100834756e-09,1.57644100834756e-09,1.57644100834756e-09,0.195813611995955,0.118349574861003,0.219278557952295,0.245418470025687,0.24097291754171,0.317953963389578,0.212574150139724,0.312596127116077,0.213681595121286,0.151769660391326,0.187965943189778,0.177676372141513,0.163947903688369,0.187818780640898,0.282307386128288,0.261329415375877,0.304614150109911,0.222542993738456,0.286508719870547,0.360112523050516,0.221097457902957,0.334675878681376,0.222222116641876,0.13399381919951,0.140326594192931,0.070306609856292,0.0136620939509876,0.341070832516666,-0.072241193042812,0.100562740244158,0.350304248255809,0.323918067672222,0.324562599997402,0.447795363961969,0.113243584376238,0.226153750380085,0.235186726101684
"SL362828",3.48309780142256e-08,1.57644019689152e-09,1.57644019689152e-09,2.26895566150791e-05,2.0321530707075e-09,1.57644019689152e-09,1.57644019689152e-09,1.57644019689152e-09,1.57644019689152e-09,2.44274930073309e-09,2.01238183899255e-06,1.62993791551443e-07,1.57644019689152e-09,1.57644019689152e-09,1.57644019689152e-09,0.188639560023762,0.11480558084102,0.251441337549261,0.298526627487477,0.304913823261025,0.370527610444646,0.312992269779506,0.383499054652982,0.292687176376165,0.195463613815491,0.24958071141693,0.217720017824202,0.257706135040009,0.282062341128378,0.374577450282013,0.336726472421156,0.344115242245121,0.282089584534135,0.288156832230418,0.377988334978829,0.299336242939147,0.40053271522275,0.258075871632088,0.220459591062719,0.166442738174715,0.0972796467164077,0.162418554133764,0.408911883405015,0.0213896510391755,0.196201872517712,0.410101992964656,0.402618082453938,0.355431302457281,0.429733907220332,0.122515410261842,0.272376386284186,0.280201126253861
"SL362829",7.14536755874093e-08,1.57644063432789e-09,1.57644063432789e-09,1.57644063432789e-09,1.57644063432789e-09,1.57644063432789e-09,1.57644063432789e-09,1.57644063432789e-09,3.26045963080838e-08,3.26045963080838e-08,1.57644063432789e-09,2.0123823973956e-06,1.57644063432789e-09,1.57644063432789e-09,1.57644063432789e-09,0.20664940553272,0.145925489109649,0.278787036945245,0.252584364423164,0.259706595506443,0.323789326374899,0.256536040588759,0.322336191714318,0.204229365857061,0.16480759590619,0.189577780005634,0.161763098753409,0.198295134918337,0.213134159215612,0.310515254748372,0.280592113246844,0.301474748372824,0.22753243609347,0.255602510361223,0.363582251041909,0.24110577014339,0.342470115752329,0.219151726875163,0.145107094066717,0.08345756582871,0.0587047024586525,0.0504438312130433,0.334821855933945,-0.0690331116643961,0.122321309044817,0.34964623965035,0.349916539961537,0.346776398841161,0.419717438082527,0.158357149662426,0.303607548973308,0.305726199297463
"SL362830",1.02337854840655e-07,1.57644080787362e-09,1.57644080787362e-09,1.57644080787362e-09,1.57644080787362e-09,1.57644080787362e-09,1.57644080787362e-09,4.9385161541962e-08,1.57644080787362e-09,1.57644080787362e-09,1.57644080787362e-09,1.01397505760572e-06,1.57644080787362e-09,1.57644080787362e-09,1.57644080787362e-09,0.22160671704444,0.185746478807504,0.254783804375957,0.206991832916102,0.184955870950744,0.278565521868638,0.177446173807634,0.237947893343428,0.159923476391071,0.101909441967699,0.0965435875674846,0.116639041677447,0.0906182760820026,0.161352420387362,0.204633151514524,0.2052203207539,0.260024699016812,0.183640291239914,0.224333203726911,0.346858080286727,0.190827373486279,0.256802543268476,0.1752440970825,0.049121100443448,0.0852559957545968,0.0114241859794669,-0.157895979198802,0.281314045109549,-0.064445188749204,0.000324257823846395,0.300465212134036,0.273213967720291,0.294248704412488,0.428885162570041,0.142233998062349,0.243665045567779,0.301995355468661
"SL362831",1.57644031498171e-09,1.57644031498171e-09,1.57644031498171e-09,1.57644031498171e-09,1.57644031498171e-09,1.57644031498171e-09,1.68627893610464e-08,1.57644031498171e-09,1.57644031498171e-09,7.56201620432918e-09,1.57644031498171e-09,2.01238198973887e-06,1.57644031498171e-09,1.57644031498171e-09,1.57644031498171e-09,0.190466393589675,0.111490384511593,0.207522766202657,0.193191094481277,0.176009603403358,0.246093774300471,0.137637975546902,0.209680090908858,0.125590337834907,0.0803896503140424,0.075579643060338,0.124768377122238,0.0844210907544336,0.208353205008919,0.18299120731435,0.175782219919085,0.283802739173734,0.20027325433326,0.212468909383299,0.335282193274347,0.147164369582542,0.219351403290753,0.206636741206792,0.0640644561074136,0.0805497063911409,0.0299436445327301,-0.145111625628374,0.276302814814903,-0.230497874813235,-0.0303046726829215,0.269895605662664,0.251769673450039,0.304249930297769,0.44036152430245,0.107300968981017,0.216452039999812,0.222160265235884
