"","sample","Debaryomyces hansenii","Delftia lacustris","Enterobacter hormaechei","Fusobacterium nucleatum","Mannheimia sp. USDA-ARS-USMARC-1261","Mollivirus sibericum","Moraxella osloensis","Myroides profundi","Nocardia mangyaensis","Plasmodium sp. gorilla clade G2","Porphyromonas asaccharolytica","Proteus virus Isfahan","Pseudomonas fluorescens","Snyder-Theilen feline sarcoma virus","Theileria annulata"
"11","SL356038",1.0397129434145e-08,1.62582179673034e-09,2.3504414435012e-09,1.86577125462686e-09,3.08810733217542e-09,2.0998185095295e-09,1.43887719840501e-09,2.73419872091367e-08,1.37739974783069e-09,2.02588413408071e-08,1.69720102406886e-09,5.24600653979224e-08,1.32730745255132e-08,1.66905017343431e-09,1.19744315070852e-09
"12","SL359722",9.45550449259449e-08,1.62583286979185e-09,2.35045745176406e-09,1.8657839619235e-09,3.08812836449428e-09,2.09983281086287e-09,1.43888699823409e-09,2.73421734285039e-08,1.37740912895238e-09,9.16915664351474e-10,1.69721258327625e-09,2.0466709632425e-07,1.57487775092935e-09,1.66906154091337e-09,1.1974513061913e-09
"13","SL362815",1.03971066158125e-08,1.62581822857795e-09,2.35043628504331e-09,1.69678080100318e-08,3.08810055477977e-09,2.0998139011078e-09,1.43887404053547e-09,1.49715476969848e-09,1.37739672488425e-09,3.7217587479135e-09,1.69719729926217e-09,2.04665253222913e-07,1.57486356858475e-09,1.66904651040962e-09,1.19744052270854e-09
"14","SL362825",2.05821653451727e-07,1.57644056342835e-09,1.57644056342835e-09,1.57644056342835e-09,1.57644056342835e-09,1.57644056342835e-09,1.57644056342835e-09,2.21318508334343e-08,4.93851538842249e-08,1.57644056342835e-09,1.57644056342835e-09,2.26895618906095e-05,1.57644056342835e-09,1.57644056342835e-09,1.57644056342835e-09
"15","SL362826",1.57644074846787e-09,1.57644074846787e-09,1.57644074846787e-09,2.59902832795842e-07,1.57644074846787e-09,1.57644074846787e-09,1.57644074846787e-09,1.57644074846787e-09,1.57644074846787e-09,1.57644074846787e-09,1.62993848580896e-07,2.2689564553866e-05,1.57644074846787e-09,1.57644074846787e-09,1.57644074846787e-09
"16","SL362827",1.57644100834756e-09,1.57644100834756e-09,1.57644100834756e-09,1.57644100834756e-09,1.57644100834756e-09,1.57644100834756e-09,1.57644100834756e-09,1.57644100834756e-09,1.57644100834756e-09,1.57644100834756e-09,1.57644100834756e-09,2.26895682942902e-05,1.57644100834756e-09,1.57644100834756e-09,1.57644100834756e-09
"17","SL362828",3.48309780142256e-08,1.57644019689152e-09,1.57644019689152e-09,2.26895566150791e-05,2.0321530707075e-09,1.57644019689152e-09,1.57644019689152e-09,1.57644019689152e-09,1.57644019689152e-09,2.44274930073309e-09,2.01238183899255e-06,1.62993791551443e-07,1.57644019689152e-09,1.57644019689152e-09,1.57644019689152e-09
"18","SL362829",7.14536755874093e-08,1.57644063432789e-09,1.57644063432789e-09,1.57644063432789e-09,1.57644063432789e-09,1.57644063432789e-09,1.57644063432789e-09,1.57644063432789e-09,3.26045963080838e-08,3.26045963080838e-08,1.57644063432789e-09,2.0123823973956e-06,1.57644063432789e-09,1.57644063432789e-09,1.57644063432789e-09
"19","SL362830",1.02337854840655e-07,1.57644080787362e-09,1.57644080787362e-09,1.57644080787362e-09,1.57644080787362e-09,1.57644080787362e-09,1.57644080787362e-09,4.9385161541962e-08,1.57644080787362e-09,1.57644080787362e-09,1.57644080787362e-09,1.01397505760572e-06,1.57644080787362e-09,1.57644080787362e-09,1.57644080787362e-09
"20","SL362831",1.57644031498171e-09,1.57644031498171e-09,1.57644031498171e-09,1.57644031498171e-09,1.57644031498171e-09,1.57644031498171e-09,1.68627893610464e-08,1.57644031498171e-09,1.57644031498171e-09,7.56201620432918e-09,1.57644031498171e-09,2.01238198973887e-06,1.57644031498171e-09,1.57644031498171e-09,1.57644031498171e-09
