Sample_ID,Debaryomyces hansenii,Delftia lacustris,Enterobacter hormaechei,Fusobacterium nucleatum,Mannheimia sp. USDA-ARS-USMARC-1261,Mollivirus sibericum,Moraxella osloensis,Myroides profundi,Nocardia mangyaensis,Plasmodium sp. gorilla clade G2,Porphyromonas asaccharolytica,Proteus virus Isfahan,Pseudomonas fluorescens,Snyder-Theilen feline sarcoma virus,Theileria annulata
SL362825,2.05821653451727e-7,1.5764405634283501e-9,1.5764405634283501e-9,1.5764405634283501e-9,1.5764405634283501e-9,1.5764405634283501e-9,1.5764405634283501e-9,2.21318508334343e-8,4.93851538842249e-8,1.5764405634283501e-9,1.5764405634283501e-9,2.26895618906095e-5,1.5764405634283501e-9,1.5764405634283501e-9,1.5764405634283501e-9
SL362826,1.57644074846787e-9,1.57644074846787e-9,1.57644074846787e-9,2.59902832795842e-7,1.57644074846787e-9,1.57644074846787e-9,1.57644074846787e-9,1.57644074846787e-9,1.57644074846787e-9,1.57644074846787e-9,1.62993848580896e-7,2.2689564553866e-5,1.57644074846787e-9,1.57644074846787e-9,1.57644074846787e-9
SL362827,1.57644100834756e-9,1.57644100834756e-9,1.57644100834756e-9,1.57644100834756e-9,1.57644100834756e-9,1.57644100834756e-9,1.57644100834756e-9,1.57644100834756e-9,1.57644100834756e-9,1.57644100834756e-9,1.57644100834756e-9,2.26895682942902e-5,1.57644100834756e-9,1.57644100834756e-9,1.57644100834756e-9
SL362828,3.48309780142256e-8,1.57644019689152e-9,1.57644019689152e-9,2.26895566150791e-5,2.0321530707075e-9,1.57644019689152e-9,1.57644019689152e-9,1.57644019689152e-9,1.57644019689152e-9,2.4427493007330903e-9,2.0123818389925502e-06,1.62993791551443e-7,1.57644019689152e-9,1.57644019689152e-9,1.57644019689152e-9
SL362829,7.14536755874093e-8,1.5764406343278901e-9,1.5764406343278901e-9,1.5764406343278901e-9,1.5764406343278901e-9,1.5764406343278901e-9,1.5764406343278901e-9,1.5764406343278901e-9,3.26045963080838e-8,3.26045963080838e-8,1.5764406343278901e-9,2.0123823973956e-6,1.5764406343278901e-9,1.5764406343278901e-9,1.5764406343278901e-9
SL362830,1.02337854840655e-7,1.5764408078736202e-9,1.5764408078736202e-9,1.5764408078736202e-9,1.5764408078736202e-9,1.5764408078736202e-9,1.5764408078736202e-9,4.9385161541962e-8,1.5764408078736202e-9,1.5764408078736202e-9,1.5764408078736202e-9,1.01397505760572e-6,1.5764408078736202e-9,1.5764408078736202e-9,1.5764408078736202e-9
SL362831,1.57644031498171e-9,1.57644031498171e-9,1.57644031498171e-9,1.57644031498171e-9,1.57644031498171e-9,1.57644031498171e-9,1.68627893610464e-8,1.57644031498171e-9,1.57644031498171e-9,7.56201620432918e-9,1.57644031498171e-9,2.01238198973887e-6,1.57644031498171e-9,1.57644031498171e-9,1.57644031498171e-9
SL362832,8.94025865254055e-8,1.5764404415254301e-9,1.5764404415254301e-9,1.5764404415254301e-9,1.5764404415254301e-9,1.5764404415254301e-9,1.5764404415254301e-9,1.5764404415254301e-9,1.5764404415254301e-9,1.5764404415254301e-9,1.5764404415254301e-9,2.01238215127641e-6,1.5764404415254301e-9,1.5764404415254301e-9,1.5764404415254301e-9
SL362833,4.9385156556763e-8,1.5764406487393602e-9,1.5764406487393602e-9,1.5764406487393602e-9,1.5764406487393602e-9,1.5764406487393602e-9,1.5764406487393602e-9,1.5764406487393602e-9,1.5764406487393602e-9,1.5764406487393602e-9,1.5764406487393602e-9,2.26895631184829e-5,1.5764406487393602e-9,1.5764406487393602e-9,1.5764406487393602e-9
SL362852,1.57644059570262e-9,1.57644059570262e-9,1.57644059570262e-9,1.57644059570262e-9,1.57644059570262e-9,1.57644059570262e-9,2.45119556891652e-8,1.57644059570262e-9,1.6299383278595e-7,1.57644059570262e-9,1.57644059570262e-9,1.01397492113621e-6,1.57644059570262e-9,3.98389275008428e-8,1.57644059570262e-9
SL362853,2.59902813591274e-7,1.5764406319825502e-9,1.5764406319825502e-9,5.38267711587469e-8,1.5764406319825502e-9,1.5764406319825502e-9,1.5764406319825502e-9,1.5764406319825502e-9,1.5764406319825502e-9,1.5764406319825502e-9,1.5764406319825502e-9,2.26895628773037e-5,1.5764406319825502e-9,1.5764406319825502e-9,1.5764406319825502e-9
SL362854,6.47459310533929e-8,1.57644092188228e-9,1.57644092188228e-9,1.57644092188228e-9,1.57644092188228e-9,1.57644092188228e-9,1.57644092188228e-9,1.57644092188228e-9,1.57644092188228e-9,1.57644092188228e-9,1.57644092188228e-9,2.01238276446898e-6,1.57644092188228e-9,1.57644092188228e-9,1.57644092188228e-9
SL362855,4.93851453810161e-8,1.5764402919944801e-9,7.14536600708211e-8,1.5764402919944801e-9,1.5764402919944801e-9,1.5764402919944801e-9,1.5764402919944801e-9,1.5764402919944801e-9,1.5764402919944801e-9,1.1714460486399e-7,1.5764402919944801e-9,1.01397472578953e-6,1.5764402919944801e-9,1.5764402919944801e-9,1.5764402919944801e-9
SL362856,1.0233787618078e-7,1.5764411366028502e-9,1.5764411366028502e-9,1.5764411366028502e-9,1.5764411366028502e-9,1.5764411366028502e-9,1.5764411366028502e-9,6.47459398721713e-8,1.5764411366028502e-9,1.5764411366028502e-9,1.5764411366028502e-9,2.26895701402566e-5,1.5764411366028502e-9,1.5764411366028502e-9,1.5764411366028502e-9
SL362857,1.62993816040889e-7,7.992585670448e-8,2.59902780908977e-7,1.5764404337480702e-9,1.5764404337480702e-9,1.5764404337480702e-9,1.5764404337480702e-9,1.5764404337480702e-9,1.43365898995946e-8,1.5764404337480702e-9,1.5764404337480702e-9,2.01238214134834e-6,1.5764404337480702e-9,1.5764404337480702e-9,1.5764404337480702e-9
SL362859,4.9385148724652e-8,1.5764403987278402e-9,1.5764403987278402e-9,1.5764403987278402e-9,1.5764403987278402e-9,1.5764403987278402e-9,1.5764403987278402e-9,1.5764403987278402e-9,1.5764403987278402e-9,1.5764403987278402e-9,1.5764403987278402e-9,2.59902775135302e-7,1.5764403987278402e-9,1.5764403987278402e-9,1.23864645654663e-8
SL362860,4.58964953994865e-8,1.5764407655040501e-9,1.5764407655040501e-9,1.5764407655040501e-9,1.5764407655040501e-9,1.5764407655040501e-9,1.5764407655040501e-9,1.5764407655040501e-9,1.5764407655040501e-9,1.5764407655040501e-9,1.5764407655040501e-9,2.59902835604543e-7,1.5764407655040501e-9,1.5764407655040501e-9,1.5764407655040501e-9
SL362861,2.72883396527962e-8,1.5764404124562501e-9,1.5764404124562501e-9,1.5764404124562501e-9,1.5764404124562501e-9,1.5764404124562501e-9,1.5764404124562501e-9,1.5764404124562501e-9,1.5764404124562501e-9,7.99258556249803e-8,1.5764404124562501e-9,2.26895597176821e-5,1.5764404124562501e-9,1.5764404124562501e-9,4.5896485120853e-8
SL362878,5.38267768698655e-8,1.57644079924578e-9,1.57644079924578e-9,1.57644079924578e-9,1.57644079924578e-9,1.57644079924578e-9,1.57644079924578e-9,1.57644079924578e-9,1.57644079924578e-9,1.57644079924578e-9,1.57644079924578e-9,5.12881057610282e-7,1.57644079924578e-9,1.57644079924578e-9,1.57644079924578e-9
SL362879,1.5764412024520201e-9,1.5764412024520201e-9,1.5764412024520201e-9,5.12881188789862e-7,2.0123831226262e-6,1.5764412024520201e-9,1.5764412024520201e-9,1.5764412024520201e-9,1.5764412024520201e-9,1.5764412024520201e-9,1.5764412024520201e-9,1.5764412024520201e-9,1.5764412024520201e-9,1.5764412024520201e-9,1.5764412024520201e-9
SL362880,1.5764403086239101e-9,1.5764403086239101e-9,1.75825241499727e-8,1.5764403086239101e-9,7.136537914259931e-9,1.5764403086239101e-9,7.136537914259931e-9,1.5764403086239101e-9,1.5764403086239101e-9,1.17144606099716e-7,1.5764403086239101e-9,1.01397473648566e-6,2.87898866767738e-8,1.5764403086239101e-9,7.14536608245657e-8
SL362881,3.1614877740107802e-9,1.57644023604854e-9,1.57644023604854e-9,1.57644023604854e-9,7.1453657535018e-8,8.01022959767065e-9,1.57644023604854e-9,1.57644023604854e-9,1.57644023604854e-9,4.35329004802344e-9,1.57644023604854e-9,8.01022959767065e-9,1.57644023604854e-9,1.57644023604854e-9,1.57644023604854e-9
